ticker,company,sector,industry,first_seen,n_snapshots
BHE,"Benchmark Electronics, Inc.",Information Technology,Electronic Manufacturing Services,2021-06,5
BHLB,"Berkshire Hills Bancorp, Inc.",Financials,Regional Banks,2021-06,5
BIG,Big Lots,Consumer Discretionary,General Merchandise Stores,2021-06,2
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,Restaurants,2021-06,5
BKE,"The Buckle, Inc.",Consumer Discretionary,Apparel Retail,2021-06,5
BKU,"BankUnited, Inc.",Financials,Thrifts & Mortgage Finance,2021-06,5
BL,"BankUnited, Inc.",Information Technology,Application Software,2024-06,2
BLFS,"BioLife Solutions, Inc.",Health Care,Health Care Supplies,2022-06,4
BLMN,"Bloomin' Brands, Inc.",Consumer Discretionary,Restaurants,2021-06,5
BMI,"Badger Meter, Inc.",Information Technology,Electronic Equipment & Instruments,2021-06,5
BNED,"Barnes & Noble Education, Inc.",Consumer Discretionary,Specialty Stores,2021-06,1
BOH,Bank of Hawaii,Financials,Regional Banks,2023-06,3
BOOM,"DMC Global, Inc.",Energy,Oil & Gas Equipment & Services,2021-06,2
BOOT,"Boot Barn Holdings, Inc.",Consumer Discretionary,Apparel Retail,2021-06,5
BOX,"Box, Inc.",Information Technology,Application Software,2024-06,2
BPFH,"Boston Private Financial Holdings, Inc.",Financials,Regional Banks,2021-06,1
BRC,Brady Corporation,Industrials,Commercial Printing,2021-06,5
BRKL,"Brookline Bancorp, Inc.",Financials,Regional Banks,2021-06,5
BSIG,"BrightSphere Investment Group, Inc.",Financials,Asset Management & Custody Banks,2021-06,5
BTU,"Peabody Energy, Inc.",Energy,Coal & Consumable Fuels,2024-06,2
BWA,BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,2025-06,1
BXMT,"Blackstone Mortgage Trust, Inc.",Financials,Mortgage REITs,2024-06,2
CABO,Cable One,Communication Services,Cable & Satellite,2024-06,2
CADE,Cadence Bancorporation,Financials,Diversified Banks,2021-06,1
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary,Restaurants,2021-06,5
CAL,"Caleres, Inc.",Consumer Discretionary,Apparel Retail,2021-06,5
CALM,"Cal-Maine Foods, Inc.",Consumer Staples,Packaged Foods & Meats,2021-06,5
CALX,Calix,Information Technology,Application Software,2024-06,2
CAMP,CalAmp Corp.,Information Technology,Communications Equipment,2021-06,2
CARA,Cara Therapeutics,Health Care,Biotechnology,2021-06,2
CARG,CarGurus,Consumer Discretionary,Automotive Retail,2023-06,3
CARS,Cars.com,Communication Services,Interactive Media & Services,2022-06,4
CASH,"Meta Financial Group, Inc.",Financials,Thrifts & Mortgage Finance,2021-06,5
CATO,The Cato Corporation,Consumer Discretionary,Apparel Retail,2021-06,2
CATY,Cathay General Bancorp,Financials,Regional Banks,2024-06,2
CBB,"Cincinnati Bell, Inc.",Communication Services,Integrated Telecommunication Services,2021-06,1
CBRL,Cracker Barrel,Consumer Discretionary,Restaurants,2023-06,3
CBU,"Community Bank System, Inc.",Financials,Regional Banks,2021-06,5
CC,Chemours,Materials,Diversified Chemicals,2025-06,1
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,Alternative Carriers,2021-06,5
CCRN,"Cross Country Healthcare, Inc.",Health Care,Health Care Services,2021-06,4
CCS,"Century Communities, Inc.",Consumer Discretionary,Homebuilding,2021-06,5
CCSI,"Consensus Cloud Solutions, Inc.",Information Technology,Internet Services & Infrastructure,2022-06,2
CDMO,"Avid Bioservices, Inc.",Health Care,Biotechnology,2022-06,2
CE,Celanese,Materials,Specialty Chemicals,2025-06,1
CEIX,"CONSOL Energy, Inc.",Energy,Coal & Consumable Fuels,2021-06,4
CELH,"Celsius Holdings, Inc.",Consumer Staples,Soft Drinks,2021-06,2
CENT,Central Garden & Pet Company,Consumer Staples,Household Products,2021-06,5
CENTA,Central Garden & Pet Company (Class A),Consumer Staples,Household Products,2021-06,5
CENX,Century Aluminum Company,Materials,Aluminum,2021-06,5
CERT,"Certara, Inc.",Health Care,Health Care Technology,2023-06,3
CEVA,"CEVA, Inc.",Information Technology,Semiconductors,2021-06,5
CFFN,Capitol Federal Savings Bank,Financials,Thrifts & Mortgage Finance,2021-06,5
CHCO,City Holding Company,Financials,Regional Banks,2021-06,5
CHCT,Community Healthcare Trust Inc,Health Care,Health Care REITs,2021-06,4
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples,Food Distributors,2021-06,5
CHRS,"Coherus BioSciences, Inc.",Health Care,Biotechnology,2021-06,3
CHS,"Chico's FAS, Inc.",Consumer Discretionary,Apparel Retail,2021-06,3
CHUY,"Chuy's Holdings, Inc.",Consumer Discretionary,Restaurants,2021-06,4
CIR,"CIRCOR International, Inc.",Industrials,Industrial Machinery,2021-06,3
CIVI,Civitas Resources,Energy,Oil & Gas Exploration & Production,2022-06,2
CLB,Core Laboratories,Energy,Oil & Gas Equipment & Services,2021-06,5
CLDT,Chatham Lodging Trust,Real Estate,Hotel & Resort REITs,2021-06,4
CLFD,"Clearfield, Inc.",Information Technology,Communications Equipment,2023-06,1
CLI,Mack-Cali Realty Corporation,Real Estate,Office REITs,2021-06,1
CLSK,"CleanSpark, Inc.",Information Technology,Internet Services & Infrastructure,2025-06,1
CLW,Clearwater Paper Corporation,Materials,Paper Products,2021-06,4
CMO,Capstead Mortgage Corporation,Real Estate,Mortgage REITs,2021-06,1
CMP,"Compass Minerals International, Inc.",Materials,Diversified Metals & Mining,2022-06,3
CMTL,Comtech Telecommunications Corp.,Information Technology,Communications Equipment,2021-06,2
CNK,"Cinemark Holdings, Inc.",Communication Services,Movies & Entertainment,2022-06,4
CNMD,CONMED Corporation,Health Care,Health Care Equipment,2021-06,5
CNR,"Core Natural Resources, Inc.",Energy,Coal & Consumable Fuels,2025-06,1
CNS,"Cohen & Steers, Inc.",Financials,Asset Management & Custody Banks,2024-06,2
CNSL,"Consolidated Communications Holdings, Inc.",Communication Services,Integrated Telecommunication Services,2021-06,4
CNXN,"PC Connection, Inc.",Information Technology,Technology Distributors,2021-06,5
COHU,"Cohu, Inc.",Information Technology,Semiconductor Equipment,2021-06,5
COKE,Coca-Cola Bottling Co. Consolidated,Consumer Staples,Soft Drinks,2021-06,2
COLB,"Columbia Banking System, Inc.",Financials,Regional Banks,2021-06,2
COLL,"Collegium Pharmaceutical, Inc.",Health Care,Pharmaceuticals,2021-06,5
CON,"Concentra Group Holdings Parent, Inc.",Health Care,Health Care Services,2025-06,1
CONN,"Conn's, Inc.",Consumer Discretionary,Computer & Electronics Retail,2021-06,2
COOP,"Mr. Cooper Group, Inc.",Financials,Other Diversified Financial Services,2021-06,5
CORE,"Core-Mark Holding Company, Inc.",Consumer Discretionary,Distributors,2021-06,1
CORT,Corcept Therapeutics Incorporated,Health Care,Pharmaceuticals,2021-06,5
CPE,Callon Petroleum,Energy,Oil & Gas Exploration & Production,2021-06,3
CPF,Central Pacific Financial Corp.,Financials,Regional Banks,2021-06,5
CPK,Chesapeake Utilities Corp.,Utilities,Gas Utilities,2021-06,5
CPRX,"Catalyst Pharmaceuticals Partners, Inc.",Health Care,Biotechnology,2023-06,3
CPS,"Cooper-Standard Holdings, Inc.",Consumer Discretionary,Auto Parts & Equipment,2021-06,1
CPSI,"Computer Programs and Systems, Inc.",Health Care,Health Care Technology,2021-06,3
CRC,California Resources Corporation,Energy,Oil & Gas Exploration & Production,2023-06,3
CRGY,Crescent Energy Company,Energy,Oil & Gas Exploration & Production,2025-06,1
CRI,"Carter's, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",2025-06,1
CRK,"Comstock Resources, Inc.",Energy,Oil & Gas Exploration & Production,2023-06,3
CRMT,"Americas Carmart, Inc.",Consumer Discretionary,Automotive Retail,2021-06,3
CRNC,Cerence,Information Technology,Application Software,2022-06,3
CRS,Carpenter Technology,Materials,Steel,2021-06,4
CRSR,Corsair Gaming,Information Technology,"Technology Hardware, Storage & Peripherals",2022-06,4
CRVL,CorVel Corporation,Health Care,Health Care Services,2021-06,5
CRY,"CryoLife, Inc.",Health Care,Health Care Equipment,2021-06,1
CSGS,"CSG Systems International, Inc.",Information Technology,Data Processing & Outsourced Services,2021-06,5
CSII,Cardiovascular Systems Inc,Health Care,Health Care Equipment,2021-06,2
CSR,Centerspace Trust,Real Estate,Residential REITs,2021-06,5
CSWI,"CSW Industrials, Inc.",Industrials,Industrial Conglomerates,2025-06,1
CTKB,"Cytek Biosciences, Inc.",Health Care,Health Care Equipment,2023-06,3
CTRE,"CareTrust REIT, Inc.",Real Estate,Health Care REITs,2021-06,5
CTS,CTS Corporation,Information Technology,Electronic Manufacturing Services,2021-06,5
CUBI,"Customers Bancorp, Inc.",Financials,Regional Banks,2021-06,5
CURB,Curbline Properties Corp.,Real Estate,Retail REITs,2025-06,1
CUTR,"Cutera, Inc.",Health Care,Health Care Equipment,2021-06,2
CVBF,CVB Financial Corp.,Financials,Regional Banks,2021-06,5
CVCO,"Cavco Industries, Inc.",Consumer Discretionary,Homebuilding,2021-06,5
CVET,"Covetrus, Inc.",Health Care,Health Care Services,2021-06,2
CVGW,"Calavo Growers, Inc.",Consumer Staples,Packaged Foods & Meats,2021-06,4
CVI,"CVR Energy, Inc.",Energy,Oil & Gas Refining & Marketing,2023-06,3
CWEN,"Clearway Energy, Inc. (Class C)",Utilities,Renewable Electricity,2024-06,2
CWEN-A,"Clearway Energy, Inc. (Class A)",Utilities,Renewable Electricity,2024-06,2
CWK,Cushman & Wakefield plc,Real Estate,Real Estate Services,2023-06,3
CWT,California Water Service Group,Utilities,Water Utilities,2021-06,5
CXM,"Sprinklr, Inc.",Information Technology,Application Software,2024-06,2
CXW,CoreCivic,Industrials,Diversified Support Services,2021-06,5
CYH,"Community Health Systems, Inc.",Health Care,Health Care Facilities,2021-06,3
CYTK,"Cytokinetics, Incorporated",Health Care,Biotechnology,2021-06,3
DAKT,"Daktronics, Inc.",Information Technology,Electronic Equipment & Instruments,2021-06,1
