ticker,company,sector,industry,float_shares,float_source
AKR,Acadia Realty Trust,Real Estate,Retail REITs,132814475.0,floatShares
ALG,Alamo Group,Industrials,Construction Machinery & Heavy Transportation Equipment,11896753.0,floatShares
ALGT,Allegiant Travel Company,Industrials,Passenger Airlines,24030140.0,floatShares
ALHC,"Alignment Healthcare, Inc.",Health Care,Health Care Services,185310116.0,floatShares
ALKS,Alkermes plc,Health Care,Pharmaceuticals,152273689.0,floatShares
ALRM,"Alarm.Com, Inc.",Financials,Application Software,45623476.0,floatShares
AMN,"Amn Healthcare Services, Inc.",Health Care,Health Care Services,38117283.0,floatShares
AMPH,"Amphstar Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,30068796.0,floatShares
AMR,"Alpha Metallurgical Resources, Inc.",Materials,Steel,9938723.0,floatShares
AMRX,Amneal Pharmaceuticals,Health Care,Pharmaceuticals,176925265.0,floatShares
AMSF,"Amerisafe, Inc.",Financials,Property & Casualty Insurance,17507367.0,floatShares
AMTM,Amentum,Industrials,Diversified Support Services,151307904.0,floatShares
ANDE,"The Andersons, Inc.",Consumer Staples,Food Distributors,31651440.0,floatShares
ANIP,"ANI Pharmaceuticals, Inc.",Health Care,Pharmaceuticals,19291682.0,floatShares
AORT,Artivion,Health Care,Health Care Equipment,45646062.0,floatShares
AOSL,"Alpha and Omega Semiconductor, Ltd.",Information Technology,Semiconductors,24429120.0,floatShares
APAM,"Artisan Partners Asset Management, Inc.",Financials,Asset Management & Custody Banks,67896729.0,floatShares
APLE,"Apple Hospitality REIT, Inc.",Real Estate,Hotel & Resort REITs,216785298.0,floatShares
APOG,"Apogee Enterprises, Inc.",Industrials,Building Products,19977635.0,floatShares
ARCB,ArcBest Corp.,Industrials,Cargo Ground Transportation,21841743.0,floatShares
ARLO,Arlo Technologies,Information Technology,Communications Equipment,99039752.0,floatShares
AROC,"Archrock, Inc.",Energy,Oil & Gas Equipment & Services,168980422.0,floatShares
ARR,Armour Residential REIT,Real Estate,Mortgage REITs,140061077.0,floatShares
ASO,Academy Sports + Outdoors,Consumer Discretionary,Specialty Stores,59804935.0,floatShares
ASTE,"Astec Industries, Inc.",Industrials,Construction Machinery & Heavy Transportation Equipment,22265990.0,floatShares
ASTH,"Astrana Health, Inc.",Health Care,Health Care Facilities,38001458.0,floatShares
ATEN,"A10 Networks, Inc.",Information Technology,Systems Software,70546925.0,floatShares
ATMU,Atmus Filtration Technologies Inc.,Industrials,Industrial Machinery & Supplies & Components,79571142.0,floatShares
AUB,"Atlantic Union Bankshares, Corp.",Financials,Regional Banks,140646966.0,floatShares
AVA,Avista Corporation,Utilities,Multi-Utilities,80937897.0,floatShares
AWI,"Armstrong World Industries, Inc.",Industrials,Building Products,40081219.0,floatShares
AWR,American States Water Company,Utilities,Water Utilities,38599154.0,floatShares
AX,"Axos Financial, Inc.",Financials,Regional Banks,54067139.0,floatShares
AZTA,"Azenta, Inc.",Health Care,Life Sciences Tools & Services,37512689.0,floatShares
AZZ,"AZZ, Inc.",Industrials,Heavy Electrical Equipment,29207955.0,floatShares
BANC,"Banc Of California, Inc.",Financials,Regional Banks,140598380.0,floatShares
BANF,Bancfirst Corp,Financials,Regional Banks,23189854.0,floatShares
BANR,Banner Corporation,Financials,Regional Banks,32741061.0,floatShares
BBT,Beacon Financial Corp.,Financials,Regional Banks,77582652.0,floatShares
BCC,Boise Cascade,Industrials,Building Products,33791227.0,floatShares
BCPC,Balchem Corporation,Materials,Specialty Chemicals,31261819.0,floatShares
BFAM,Bright Horizons Family Solutions Inc.,Consumer Discretionary,Specialized Consumer Services,43727031.0,floatShares
BFH,"Bread Financial Holdings, Inc.",Financials,Consumer Finance,36423771.0,floatShares
BFS,"Saul Centers, Inc.",Real Estate,Retail REITs,13682893.0,floatShares
BGC,"BGC Group, Inc.",Financials,Investment Banking & Brokerage,359210203.0,floatShares
BHE,"Benchmark Electronics, Inc.",Information Technology,Electronic Manufacturing Services,34597002.0,floatShares
BJRI,"BJ's Restaurants, Inc.",Consumer Discretionary,Restaurants,20283897.0,floatShares
BKE,"The Buckle, Inc.",Consumer Discretionary,Apparel Retail,30400914.0,floatShares
BKU,"BankUnited, Inc.",Financials,Regional Banks,66784507.0,floatShares
BL,"BlackLine Systems, Inc.",Information Technology,Application Software,44099061.0,floatShares
BLFS,"BioLife Solutions, Inc.",Health Care,Health Care Supplies,42553234.0,floatShares
BLKB,Blackbaud,Information Technology,Application Software,33172653.0,floatShares
BMI,"Badger Meter, Inc.",Information Technology,Electronic Equipment & Instruments,27279812.0,floatShares
BNL,"Broadstone Net Lease, Inc.",Real Estate,Industrial REITs,185627665.0,floatShares
BOH,Bank of Hawaii,Financials,Regional Banks,38646002.0,floatShares
BOOT,"Boot Barn Holdings, Inc.",Consumer Discretionary,Apparel Retail,28576779.0,floatShares
BOX,"Box, Inc.",Information Technology,Application Software,142758954.0,floatShares
BRC,Brady Corporation,Industrials,Commercial Printing,41815428.0,floatShares
BTU,"Peabody Energy, Inc.",Energy,Coal & Consumable Fuels,112925722.0,floatShares
BXMT,"Blackstone Mortgage Trust, Inc.",Financials,Mortgage REITs,156710595.0,floatShares
CACC,Credit Acceptance,Financials,Specialized Finance,5668420.0,floatShares
CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,471698225.0,floatShares
CAKE,"The Cheesecake Factory, Inc.",Consumer Discretionary,Restaurants,45630501.0,floatShares
CALM,"Cal-Maine Foods, Inc.",Consumer Staples,Packaged Foods & Meats,41673627.0,floatShares
CALX,Calix,Information Technology,Application Software,56328214.0,floatShares
CALY,Callaway Golf Company,Consumer Discretionary,Leisure Products,154127769.0,floatShares
CARG,CarGurus,Communication Services,Interactive Media & Services,71830634.0,floatShares
CASH,"Pathward Financial, Inc.",Financials,Regional Banks,20262130.0,floatShares
CATY,Cathay General Bancorp,Financials,Regional Banks,62642276.0,floatShares
CBRL,Cracker Barrel,Consumer Discretionary,Restaurants,18183136.0,floatShares
CBU,"Community Bank System, Inc.",Financials,Regional Banks,51181595.0,floatShares
CC,Chemours,Materials,Diversified Chemicals,146093889.0,floatShares
CCOI,"Cogent Communications Holdings, Inc.",Communication Services,Alternative Carriers,41574567.0,floatShares
CCS,"Century Communities, Inc.",Consumer Discretionary,Homebuilding,24139248.0,floatShares
CE,Celanese,Materials,Specialty Chemicals,100262229.0,floatShares
CENT,Central Garden & Pet Company,Consumer Staples,Household Products,56348986.0,floatShares
CENTA,Central Garden & Pet Company (Class A),Consumer Staples,Household Products,56348986.0,floatShares
CENX,Century Aluminum Company,Materials,Aluminum,67144182.0,floatShares
CERT,"Certara, Inc.",Health Care,Health Care Technology,102083528.0,floatShares
CFFN,Capitol Federal Savings Bank,Financials,Regional Banks,105249200.0,floatShares
CHCO,City Holding Company,Financials,Regional Banks,13545574.0,floatShares
CHEF,"Chefs' Warehouse, Inc.",Consumer Staples,Food Distributors,36397449.0,floatShares
CLSK,"CleanSpark, Inc.",Information Technology,Internet Services & Infrastructure,246025620.0,floatShares
CNK,"Cinemark Holdings, Inc.",Communication Services,Movies & Entertainment,99756870.0,floatShares
CNMD,CONMED Corporation,Health Care,Health Care Equipment,29208757.0,floatShares
CNR,"Core Natural Resources, Inc.",Energy,Coal & Consumable Fuels,47848359.0,floatShares
CNS,"Cohen & Steers, Inc.",Financials,Asset Management & Custody Banks,27550629.0,floatShares
CNXC,Concentrix,Industrials,Data Processing & Outsourced Services,44776486.0,floatShares
CNXN,"PC Connection, Inc.",Information Technology,Technology Distributors,10711806.0,floatShares
